i,Variety,BinName,Grower,Block,FilledTime,EmptiedTime,ElapsedTime,ElapsedSeconds,EndMoisture,Buyer,ShippedOn,CertWgt,Acceptable
1623,Chandler,H10,NUT17,B14,4/17/2018 4:55 PM,4/19/2018 3:52 PM,2:34:43,9283,5.2,5557,19/04/2018,10060,yes
1624,Chandler,G5,NUT17,B14,4/17/2018 4:55 PM,4/19/2018 4:20 PM,43:21:21,156081,4.45,3322,19/04/2018,8770,yes
1625,Chandler,G6,NUT17,B14,4/17/2018 4:55 PM,4/19/2018 4:40 PM,42:45:11,153911,3.8,3095,19/04/2018,8680,yes
1626,Chandler,A01,NUT17,B14,4/17/2018 4:55 PM,4/18/2018 1:39 PM,20:36:46,74206,5.9,3320,18/04/2018,8850,yes
1627,Chandler,A02,NUT17,B14,4/17/2018 4:55 PM,4/18/2018 9:19 AM,15:05:08,54308,6.3,5333,18/04/2018,10470,yes
1628,Chandler,A03,NUT17,B14,4/17/2018 4:55 PM,4/18/2018 9:09 AM,8:52:56,31976,2.8,5333,18/04/2018,10470,yes
1629,Chandler,A04,NUT17,B16,4/17/2018 5:33 PM,4/18/2018 9:25 AM,10:51:55,39115,6,5553,18/04/2018,10570,yes
1630,Chandler,A05,NUT17,B16,4/17/2018 5:33 PM,4/18/2018 9:51 AM,11:31:09,41469,5.8,5553,18/04/2018,10570,yes
1631,Chandler,A06,NUT17,B16,4/17/2018 5:33 PM,4/18/2018 1:57 PM,4:17:03,15423,3.9,3320,18/04/2018,8850,yes
1632,Chandler,A07,NUT17,B15,4/17/2018 10:39 PM,4/18/2018 2:05 PM,4:40:12,16812,6.3,3320,18/04/2018,8850,yes
1633,Chandler,A08,NUT17,B15,4/17/2018 10:39 PM,4/18/2018 9:58 AM,6:11:02,22262,7.8,5553,18/04/2018,10570,yes
1634,Chandler,A09,NUT17,B15,4/17/2018 10:39 PM,4/18/2018 2:24 PM,4:40:28,16828,5.8,2058,18/04/2018,7790,yes
1635,Chandler,B05,NUT17,B15,4/17/2018 10:39 PM,4/18/2018 11:11 AM,12:22:41,44561,6.1,2855,18/04/2018,9090,yes
1636,Chandler,C01,NUT17,B15,4/17/2018 10:39 PM,4/19/2018 8:20 AM,14:03:50,50630,5.7,3525,19/04/2018,9000,yes
1637,Chandler,C02,NUT17,B15,4/17/2018 10:39 PM,4/19/2018 8:28 AM,11:53:41,42821,7.1,3525,19/04/2018,9000,yes
1638,Chandler,C03,NUT17,B15,4/17/2018 10:39 PM,4/18/2018 11:36 AM,8:40:04,31204,3.7,5355,18/04/2018,10020,yes
1639,Chandler,C04,NUT17,C16,4/17/2018 11:02 PM,4/19/2018 8:45 AM,14:15:21,51321,6.6,3278,19/04/2018,8790,yes
1640,Chandler,C05,NUT17,C16,4/17/2018 11:02 PM,4/19/2018 8:52 AM,13:43:35,49415,7,3278,19/04/2018,8790,yes
1641,Chandler,C06,NUT17,C16,4/17/2018 11:02 PM,4/19/2018 9:09 AM,13:44:30,49470,6,5595,19/04/2018,8550,yes
1642,Chandler,C07,NUT17,C16,4/17/2018 11:02 PM,4/19/2018 9:15 AM,12:31:20,45080,2.6,5595,19/04/2018,8550,yes
1643,Chandler,C09,NUT17,C16,4/17/2018 11:02 PM,4/18/2018 2:36 PM,11:36:22,41782,7.4,2058,18/04/2018,7790,yes
1644,Chandler,B11,NUT17,C16,4/17/2018 11:02 PM,4/18/2018 1:59 PM,4:06:19,14779,7.4,2753,18/04/2018,9030,yes
1645,Lara,C08,30424,18141 Frey Sth,4/18/2018 5:08 AM,4/20/2018 2:39 PM,15:56:57,57417,6,2797,20/04/2018,7860,yes
1646,Lara,C10,30424,18141 Frey Sth,4/18/2018 5:08 AM,4/23/2018 4:26 PM,104:31:50,376310,2.9,3755,23/04/2018,6610,yes
1647,Lara,C11,30424,18141 Frey Sth,4/18/2018 5:08 AM,4/23/2018 4:28 PM,96:14:50,346490,2.9,3755,23/04/2018,6610,yes
1648,Lara,D01,30424,18143 Frey Sth,4/18/2018 5:08 AM,4/20/2018 11:57 AM,44:26:44,160004,5.1,2037,20/04/2018,7960,yes
1649,Lara,D02,30424,18143 Frey Sth,4/18/2018 5:08 AM,4/20/2018 12:02 PM,1:20:06,4806,4.4,2037,20/04/2018,7960,yes
1650,Lara,D03,30424,18144 Frey Sth,4/18/2018 5:08 AM,4/20/2018 12:56 PM,17:14:10,62050,5,3532,20/04/2018,7830,yes
1651,Lara,D04,30424,18144 Frey Sth,4/20/2018 1:06 PM,4/20/2018 1:06 PM,0:00:26,26,16.1,3532,20/04/2018,7830,no
1652,Lara,D05,30424,18145 Frey Sth,4/18/2018 5:08 AM,4/20/2018 1:24 PM,17:15:43,62143,4.3,3825,20/04/2018,7790,yes
1653,Lara,D06,30424,18145 Frey Sth,4/18/2018 5:08 AM,4/20/2018 1:30 PM,16:13:43,58423,6,3825,20/04/2018,7790,yes
1654,Lara,D07,30424,18146 Frey Sth,4/20/2018 1:53 PM,4/20/2018 1:53 PM,,0,5.7,2080,20/04/2018,7900,yes
